4
3 3 3
###
#o#
###
###
###
###
###
#.#
###
5 5 5
#####
#...#
#.o.#
#...#
#####
#####
#...#
#.^.#
#...#
#####
#####
#...#
#...#
#...#
#####
#####
#...#
#.#.#
#...#
#####
#####
#...#
#...#
#...#
#####
7 7 7
#######
#o...o#
#.o.o.#
#..o..#
#.o.o.#
#o...o#
#######
#######
#.....#
#.^.^.#
#..^..#
#.^.^.#
#.....#
#######
#######
#.....#
#.....#
#..^..#
#.....#
#.....#
#######
#######
##...##
#.....#
#..#..#
#.....#
##...##
#######
#######
#.....#
#..^..#
#.^.^.#
#..^..#
#.....#
#######
#######
#######
##...##
##...##
##...##
#######
#######
#######
#.....#
#.....#
#.....#
#.....#
#.....#
#######
9 9 9
#########
#.......#
#.......#
#.......#
#...o...#
#.......#
#.......#
#.......#
#########
#########
#.......#
#.......#
#.......#
#...^...#
#.......#
#.......#
#.......#
#########
#########
#.......#
#.......#
#..^^^..#
#..^^^..#
#..^^^..#
#.......#
#.......#
#########
#########
#.......#
#.^^^^^.#
#.^^^^^.#
#.^^^^^.#
#.^^^^^.#
#.^^^^^.#
#.......#
#########
#########
#.......#
#.......#
#..^^^..#
#..^^^..#
#..^^^..#
#.......#
#.......#
#########
#########
#.......#
#.......#
#.......#
#...^...#
#.......#
#.......#
#.......#
#########
#########
#.......#
#.......#
#..^^^..#
#..^.^..#
#..^^^..#
#.......#
#.......#
#########
#########
##.....##
#.#...#.#
#..#.#..#
#...#...#
#..#.#..#
#.#...#.#
##.....##
#########
#########
#.......#
#.......#
#.......#
#.......#
#.......#
#.......#
#.......#
#########
