12
322525 -803
353839 23923
484595 409439
002305 82385
103592 -9239
268358 190909
352920 58285
235235 2948234
000102 28523
253093 -123
111111 100000
325001 32952
C 268358 10293
D 322525 35252
D 353839 45823
D 111111 23253
D 353839 23455
D 268358 5000
D 111111 253998
D 322525 5000
D 268358 19382
D 322525 19203
D 352920 85492
C 268358 1092
D 268358 28345
C 322525 92385
C 111111 23902
D 353839 32523
C 353839 123952
D 111111 23528
C 103592 29395
D 353839 90934
D 322525 23852
C 353839 2535
C 268358 17398
C 322525 2359
D 353839 83499

