20
3 2
alpha beta gamma
alpha gamma 7
gamma beta 4
4 4
austin elpaso houston dallas
austin houston 3
dallas houston 5
dallas austin 4
austin elpaso 9
5 8
green brown blue yellow saffron
green brown 52
blue yellow 26
saffron brown 19
yellow saffron 12
green blue 21
saffron green 36
yellow brown 56
blue brown 66
1 0
home
2 1
a b
a b 5
2 1
a b
b a 5
4 3
yrhepdmj viezngtlph hwsxcoi zuvqmfilbj
yrhepdmj viezngtlph 37
viezngtlph hwsxcoi 38
hwsxcoi zuvqmfilbj 58
8 7
tjuckvf mduayelftb kzidyctaol ousnxhc fbnpvda qeicfhkv uibhvfl fuymgprv
qeicfhkv uibhvfl 56
mduayelftb kzidyctaol 44
fbnpvda qeicfhkv 92
tjuckvf mduayelftb 91
uibhvfl fuymgprv 79
ousnxhc fbnpvda 80
kzidyctaol ousnxhc 95
5 4
hlvozwnsk ahfjecb yhdinabr rdiegwpvco dukraymgzh
yhdinabr ahfjecb 73
dukraymgzh hlvozwnsk 16
rdiegwpvco yhdinabr 14
rdiegwpvco dukraymgzh 97
8 7
hjitlfsqev njciqrvay mofukir cqomigu sydfxve weqpuyzh pvofgdc jkdapcw
hjitlfsqev sydfxve 66
cqomigu pvofgdc 47
cqomigu jkdapcw 81
cqomigu hjitlfsqev 70
jkdapcw weqpuyzh 80
cqomigu njciqrvay 80
hjitlfsqev mofukir 79
5 5
cmxapsbj dpofaytjsb zinprdagh vnjqry rzafklnji
dpofaytjsb zinprdagh 90
zinprdagh vnjqry 25
cmxapsbj dpofaytjsb 44
cmxapsbj rzafklnji 46
vnjqry rzafklnji 68
8 8
pbuoqhfl antqhl bitrjofm vkyaizrf irthsw keizmh klshwugia dtvlqkw
keizmh klshwugia 37
antqhl bitrjofm 26
irthsw keizmh 99
klshwugia dtvlqkw 74
bitrjofm vkyaizrf 30
pbuoqhfl dtvlqkw 41
vkyaizrf irthsw 16
pbuoqhfl antqhl 42
5 10
hotgrvxa yczghovpri lvaweycnp vtzxhbilo mpybxj
lvaweycnp hotgrvxa 77
lvaweycnp vtzxhbilo 86
mpybxj hotgrvxa 9
yczghovpri hotgrvxa 37
lvaweycnp mpybxj 44
vtzxhbilo mpybxj 28
vtzxhbilo hotgrvxa 53
mpybxj yczghovpri 79
lvaweycnp yczghovpri 59
vtzxhbilo yczghovpri 16
8 28
ynwpfo chvuep vltcfqhgs osjbfmn emqxwicgk gkniou kgcqhvbte lbrezx
lbrezx osjbfmn 76
emqxwicgk chvuep 77
chvuep vltcfqhgs 5
kgcqhvbte vltcfqhgs 93
vltcfqhgs ynwpfo 29
ynwpfo emqxwicgk 98
kgcqhvbte ynwpfo 33
lbrezx vltcfqhgs 50
lbrezx ynwpfo 32
osjbfmn kgcqhvbte 19
osjbfmn emqxwicgk 64
vltcfqhgs osjbfmn 33
kgcqhvbte emqxwicgk 32
chvuep kgcqhvbte 29
chvuep gkniou 68
gkniou emqxwicgk 48
ynwpfo chvuep 52
lbrezx chvuep 49
osjbfmn gkniou 78
gkniou kgcqhvbte 95
gkniou lbrezx 95
chvuep osjbfmn 71
ynwpfo gkniou 26
gkniou vltcfqhgs 82
kgcqhvbte lbrezx 97
osjbfmn ynwpfo 32
emqxwicgk vltcfqhgs 39
emqxwicgk lbrezx 7
8 14
vhpnymr ovegxswpi grkaiuml zhsxupmc mvnctxhpr auzpokhbg flvhgx vtcfxmdi
zhsxupmc grkaiuml 68
flvhgx ovegxswpi 16
flvhgx grkaiuml 30
vhpnymr mvnctxhpr 93
mvnctxhpr zhsxupmc 43
ovegxswpi mvnctxhpr 81
vtcfxmdi vhpnymr 57
mvnctxhpr flvhgx 17
vhpnymr zhsxupmc 41
flvhgx vtcfxmdi 54
ovegxswpi grkaiuml 1
vtcfxmdi mvnctxhpr 21
flvhgx auzpokhbg 75
vhpnymr grkaiuml 20
8 13
fvntiyu dnrywxjc elqdsiygm tjrxvbwhl bpameks lptkazej hkxitgqpvj nwopcmrs
bpameks lptkazej 3
hkxitgqpvj dnrywxjc 17
bpameks hkxitgqpvj 81
nwopcmrs tjrxvbwhl 25
elqdsiygm dnrywxjc 32
dnrywxjc fvntiyu 75
nwopcmrs fvntiyu 94
bpameks nwopcmrs 32
lptkazej dnrywxjc 76
tjrxvbwhl fvntiyu 60
bpameks elqdsiygm 11
bpameks tjrxvbwhl 32
tjrxvbwhl dnrywxjc 50
8 14
qxflbagjdz cekqysazun afvptcy bmtdpanwr tnvueiams nymcldwu cdnlhksyoi qixprk
cekqysazun qxflbagjdz 43
cekqysazun nymcldwu 46
cekqysazun bmtdpanwr 80
cekqysazun tnvueiams 59
bmtdpanwr nymcldwu 6
qixprk afvptcy 95
nymcldwu afvptcy 83
afvptcy bmtdpanwr 13
qixprk bmtdpanwr 88
qixprk cdnlhksyoi 58
qixprk cekqysazun 89
tnvueiams nymcldwu 1
cekqysazun afvptcy 81
tnvueiams qixprk 16
8 16
nmzjgyfck tljvoc dmngezvp gfmbup anjwyzdros rizubxdc asiyulgof qvpcdwyoif
asiyulgof qvpcdwyoif 86
qvpcdwyoif dmngezvp 21
rizubxdc gfmbup 15
nmzjgyfck dmngezvp 94
nmzjgyfck asiyulgof 70
nmzjgyfck tljvoc 13
gfmbup qvpcdwyoif 72
asiyulgof rizubxdc 24
gfmbup tljvoc 79
qvpcdwyoif nmzjgyfck 39
gfmbup asiyulgof 13
anjwyzdros qvpcdwyoif 71
dmngezvp anjwyzdros 78
dmngezvp rizubxdc 5
gfmbup nmzjgyfck 54
asiyulgof dmngezvp 6
8 16
jxpfin eyqdmrt njervkgt whknduloas cueawyq qbakzr icqnuzpkf iojbfwvkse
jxpfin whknduloas 40
njervkgt icqnuzpkf 63
iojbfwvkse icqnuzpkf 53
jxpfin njervkgt 28
qbakzr iojbfwvkse 41
jxpfin iojbfwvkse 80
iojbfwvkse njervkgt 28
cueawyq eyqdmrt 6
icqnuzpkf whknduloas 66
eyqdmrt njervkgt 18
njervkgt cueawyq 53
jxpfin qbakzr 47
njervkgt qbakzr 48
cueawyq whknduloas 69
whknduloas eyqdmrt 11
icqnuzpkf qbakzr 42
8 17
nkrchpf fqwkubrtp szmbpdq rqmpkujya ayjxumizc ovqdtcxzib ypcgsia klqyzp
fqwkubrtp klqyzp 45
nkrchpf ypcgsia 69
fqwkubrtp rqmpkujya 75
szmbpdq ovqdtcxzib 9
ayjxumizc nkrchpf 23
klqyzp rqmpkujya 11
szmbpdq ypcgsia 56
nkrchpf fqwkubrtp 61
rqmpkujya ypcgsia 34
fqwkubrtp ayjxumizc 89
nkrchpf klqyzp 51
nkrchpf szmbpdq 100
ypcgsia klqyzp 41
ayjxumizc klqyzp 79
szmbpdq ayjxumizc 11
ayjxumizc rqmpkujya 30
ovqdtcxzib nkrchpf 32
